PCI,Road Type,AADT,Asphalt Type,Last Maintenance,Average Rainfall,Rutting,IRI
70,Secondary,4634,Concrete,2022,42.07,15.11,0.68
37.87,Tertiary,3474,Asphalt,2017,79.6,19.67,0.99
88.32,Tertiary,1734,Concrete,2019,62.69,14.73,0.5
52.3,Tertiary,3119,Asphalt,2008,79.32,17.01,1.04
49.1,Tertiary,3505,Asphalt,2019,71.81,21.08,1.18
74.24,Secondary,17095,Concrete,2023,51.45,15.01,1.17
91.31,Secondary,6373,Asphalt,2024,63.41,12.8,0.72
100,Secondary,11063,Concrete,2023,45.95,12.66,0.18
53.18,Tertiary,4142,Asphalt,2017,75.16,17.35,1.01
25.69,Tertiary,2505,Asphalt,2020,103.56,19.57,0.79
26.48,Secondary,13577,Asphalt,2020,90.87,19.35,1.17
79.39,Secondary,8041,Concrete,2021,67.26,12.93,0.88
20.86,Tertiary,3272,Asphalt,2020,78.02,19.31,0.92
12.74,Tertiary,2290,Asphalt,2019,88.1,18.97,0.72
0,Secondary,18966,Asphalt,2018,77.21,19.22,0.86
71.2,Tertiary,629,Concrete,2025,48.74,14.92,0.98
89.49,Primary,20098,Concrete,2017,37.61,10.56,0.76
79.75,Secondary,9719,Concrete,2017,34.97,14.17,1.05
0,Primary,52089,Asphalt,2019,69.58,20.02,1.22
67.64,Secondary,7122,Concrete,2022,45.94,13.71,0.77
100,Tertiary,1797,Concrete,2020,66.87,14.83,0.4
39.22,Tertiary,1355,Asphalt,2019,88.66,21.04,0.85
16.46,Tertiary,2965,Asphalt,2020,85.96,19.09,0.82
86.04,Primary,17725,Concrete,2018,28.65,15.87,0.74
81.73,Tertiary,2443,Concrete,2023,42.91,13.61,0.8
28.86,Tertiary,1392,Asphalt,2020,92.75,20.51,1.21
81.68,Tertiary,2185,Concrete,2017,61.96,12.48,0.85
92.36,Tertiary,2016,Concrete,2022,33.03,12.33,1.07
65.71,Tertiary,4455,Asphalt,2019,62.67,18.57,1.01
50.97,Tertiary,275,Concrete,2021,58.78,13.7,0.94
85.38,Primary,32394,Asphalt,2024,70.36,17.21,0.42
15.96,Tertiary,2201,Asphalt,2019,52.37,17.55,0.99
90.65,Tertiary,910,Concrete,2021,59.89,15.12,0.81
95,Secondary,23135,Asphalt,2024,64.21,14.26,0.84
27.94,Primary,29582,Asphalt,2019,81.02,18.47,1.19
81.88,Primary,20870,Asphalt,2025,54.02,11.81,0.89
100,Tertiary,2810,Concrete,2021,77.18,14.72,0.75
77.73,Tertiary,1471,Asphalt,2024,75.47,15.99,0.74
100,Tertiary,126,Concrete,2017,48.85,11.16,0.88
95.8,Tertiary,1318,Asphalt,2025,55.3,13.16,0.77
21.27,Tertiary,2568,Asphalt,2018,76.59,20.85,0.83
0,Secondary,10797,Asphalt,2016,75.19,19.08,0.83
34.18,Secondary,16467,Asphalt,2018,90.99,19.47,0.83
9.95,Primary,18520,Asphalt,2019,87.9,20.96,1.44
59.41,Tertiary,1643,Asphalt,2024,50.13,12.52,0.6
79.41,Secondary,11938,Concrete,2021,45.68,11.78,0.62
9.99,Secondary,14261,Asphalt,2020,84.04,18.53,0.92
25.98,Primary,13990,Asphalt,2019,76.08,20.67,1.04
13.18,Tertiary,1576,Asphalt,2012,82.95,17.99,0.55
21.55,Secondary,20669,Asphalt,2013,85,18.84,0.83
10.77,Tertiary,4738,Asphalt,2019,102.44,18.89,0.95
76.2,Primary,81821,Concrete,2022,49.73,15.51,0.55
38.16,Tertiary,2794,Asphalt,2020,69.2,19.27,1
67.05,Primary,24663,Concrete,2023,57.62,16.11,0.91
79.53,Primary,36058,Asphalt,2024,56.69,14.55,0.97
80.24,Primary,12008,Concrete,2023,34.98,12.56,0.69
85.94,Tertiary,4064,Asphalt,2023,50.96,14.4,0.89
65.94,Primary,32281,Concrete,2020,37.42,14.64,1.11
34.41,Primary,17493,Concrete,2020,54.38,14.06,0.93
33.04,Tertiary,2279,Asphalt,2015,81.24,18.97,1.02
98.38,Secondary,10364,Asphalt,2024,42.52,14.25,0.54
25.37,Secondary,14586,Asphalt,2020,81.44,20.18,1.01
68.01,Primary,25064,Concrete,2022,41.02,16.23,0.87
0,Tertiary,2151,Asphalt,2011,71.11,19.65,0.95
94.68,Secondary,3430,Concrete,2024,42.84,12.81,0.39
79.43,Secondary,6902,Concrete,2022,42.74,13.77,0.84
87.17,Tertiary,2795,Concrete,2018,50.44,13.76,0.72
15.44,Secondary,7097,Asphalt,2020,75.73,18.81,1
22.23,Tertiary,3226,Asphalt,2017,95.27,19.61,1.05
77.56,Primary,22932,Asphalt,2024,40.61,14.09,0.41
75.62,Tertiary,1107,Concrete,2018,65.89,15.57,0.7
53.3,Tertiary,1316,Asphalt,2018,68.42,19.6,1.19
24.32,Tertiary,2400,Asphalt,2020,74.34,19.58,1.06
30.33,Tertiary,3776,Asphalt,2020,74.25,18.89,1.04
12.32,Primary,35558,Asphalt,2019,82.15,19.18,0.83
77.81,Tertiary,1720,Concrete,2019,78.02,16.34,0.74
61.83,Primary,4562,Asphalt,2025,58.44,12.62,0.98
39.54,Secondary,10197,Asphalt,2020,77,19.91,0.75
52.96,Primary,12836,Asphalt,2020,70.71,16.35,1.36
76.39,Primary,19876,Concrete,2023,51.61,15.5,0.87
39.5,Secondary,21690,Asphalt,2019,79.18,16.73,1.08
2.95,Secondary,11374,Asphalt,2015,79.6,18.05,0.9
20.97,Primary,38041,Asphalt,2021,91.75,19.46,1.17
97.85,Tertiary,3479,Concrete,2021,61.82,15.14,0.85
49.62,Tertiary,3878,Asphalt,2020,75.05,20.54,1.08
95.11,Secondary,6269,Concrete,2020,58.86,13.71,0.99
11.36,Tertiary,3838,Asphalt,2018,93.15,20.94,1.03
6.54,Tertiary,4732,Asphalt,2017,90.33,19.79,1.03
27.92,Tertiary,3593,Asphalt,2019,102.27,20.05,0.9
46.27,Tertiary,5143,Asphalt,2013,74.92,18.52,0.93
67.55,Primary,28643,Concrete,2019,48.93,15.86,0.93
36.9,Tertiary,1727,Asphalt,2019,87.7,19.33,0.81
39.54,Primary,23649,Asphalt,2017,83.83,18.03,1.11
30.21,Tertiary,2340,Concrete,2013,77.91,19.17,0.93
28.06,Secondary,25414,Asphalt,2020,52.32,19.31,0.66
0,Secondary,19679,Asphalt,2018,86.04,18.85,0.54
46.97,Secondary,16240,Asphalt,2020,81.56,16.69,0.75
18.22,Secondary,12756,Asphalt,2020,70.62,20.17,0.61
44.83,Secondary,15093,Asphalt,2020,80.24,19.63,0.69
32.47,Secondary,35846,Asphalt,2017,74.51,18.07,0.62
